date,Warengruppe,id,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,school_holiday,public_holiday
2012-01-01,1,1201011,,8.0,9.825,14.0,58.0,,,
2012-01-01,2,1201012,,8.0,9.825,14.0,58.0,,,
2012-01-01,3,1201013,,8.0,9.825,14.0,58.0,,,
2012-01-01,4,1201014,,8.0,9.825,14.0,58.0,,,
2012-01-01,5,1201015,,8.0,9.825,14.0,58.0,,,
2012-01-02,1,1201021,,7.0,7.4375,12.0,58.0,,,
2012-01-02,2,1201022,,7.0,7.4375,12.0,58.0,,,
2012-01-02,3,1201023,,7.0,7.4375,12.0,58.0,,,
2012-01-02,4,1201024,,7.0,7.4375,12.0,58.0,,,
2012-01-02,5,1201025,,7.0,7.4375,12.0,58.0,,,
2012-01-03,1,1201031,,8.0,5.5375,18.0,63.0,,,
2012-01-03,2,1201032,,8.0,5.5375,18.0,63.0,,,
2012-01-03,3,1201033,,8.0,5.5375,18.0,63.0,,,
2012-01-03,4,1201034,,8.0,5.5375,18.0,63.0,,,
2012-01-03,5,1201035,,8.0,5.5375,18.0,63.0,,,
2012-01-04,1,1201041,,4.0,5.6875,19.0,80.0,,,
2012-01-04,2,1201042,,4.0,5.6875,19.0,80.0,,,
2012-01-04,3,1201043,,4.0,5.6875,19.0,80.0,,,
2012-01-04,4,1201044,,4.0,5.6875,19.0,80.0,,,
2012-01-04,5,1201045,,4.0,5.6875,19.0,80.0,,,
2012-01-05,1,1201051,,6.0,5.3,23.0,80.0,,,
2012-01-05,2,1201052,,6.0,5.3,23.0,80.0,,,
2012-01-05,3,1201053,,6.0,5.3,23.0,80.0,,,
2012-01-05,4,1201054,,6.0,5.3,23.0,80.0,,,
2012-01-05,5,1201055,,6.0,5.3,23.0,80.0,,,
2012-01-06,1,1201061,,3.0,2.625,10.0,80.0,,,
2012-01-06,2,1201062,,3.0,2.625,10.0,80.0,,,
2012-01-06,3,1201063,,3.0,2.625,10.0,80.0,,,
2012-01-06,4,1201064,,3.0,2.625,10.0,80.0,,,
2012-01-06,5,1201065,,3.0,2.625,10.0,80.0,,,
2012-01-07,1,1201071,,7.0,6.528571,14.0,61.0,,,
2012-01-07,2,1201072,,7.0,6.528571,14.0,61.0,,,
2012-01-07,3,1201073,,7.0,6.528571,14.0,61.0,,,
2012-01-07,4,1201074,,7.0,6.528571,14.0,61.0,,,
2012-01-07,5,1201075,,7.0,6.528571,14.0,61.0,,,
2012-01-08,1,1201081,,7.0,5.9625,10.0,80.0,,,
2012-01-08,2,1201082,,7.0,5.9625,10.0,80.0,,,
2012-01-08,3,1201083,,7.0,5.9625,10.0,80.0,,,
2012-01-08,4,1201084,,7.0,5.9625,10.0,80.0,,,
2012-01-08,5,1201085,,7.0,5.9625,10.0,80.0,,,
2012-01-09,1,1201091,,8.0,5.15,12.0,61.0,,,
2012-01-09,2,1201092,,8.0,5.15,12.0,61.0,,,
2012-01-09,3,1201093,,8.0,5.15,12.0,61.0,,,
2012-01-09,4,1201094,,8.0,5.15,12.0,61.0,,,
2012-01-09,5,1201095,,8.0,5.15,12.0,61.0,,,
