Temperatur,KielerWoche,school_holiday,public_holiday,Month,sin_season,cos_season,is_weekend,lag_1,lag_2,lag_7,lag_14,roll7_mean,roll7_std,roll14_mean,roll14_std,roll30_mean,roll30_std,Wochentag_Friday,Wochentag_Monday,Wochentag_Saturday,Wochentag_Sunday,Wochentag_Thursday,Wochentag_Tuesday,Wochentag_Wednesday,lag_1_isna,lag_2_isna,lag_7_isna,lag_14_isna,roll7_mean_isna,roll7_std_isna,roll14_mean_isna,roll14_std_isna,roll30_mean_isna,roll30_std_isna,umsatz
17.8375,0,1,0,7,0.008606996888688698,-0.9999629591162655,0,,,,,,,,,,,False,True,False,False,False,False,False,1,1,1,1,1,1,1,1,1,1,148.828353112183
17.3125,0,1,0,7,-0.008606996888688009,-0.9999629591162655,0,148.828353112183,,,,148.828353112183,,148.828353112183,,148.828353112183,,False,False,False,False,False,True,False,0,1,1,1,0,1,0,1,0,1,159.79375714468
21.075,0,1,0,7,-0.02581844022713239,-0.9996666485105112,0,159.79375714468,148.828353112183,,,154.31105512843152,7.7537115498289255,154.31105512843152,7.7537115498289255,154.31105512843152,7.7537115498289255,False,False,False,False,False,False,True,0,0,1,1,0,0,0,0,0,0,111.885593514353
18.85,0,1,0,7,-0.04302223300453034,-0.99907411510223,0,111.885593514353,159.79375714468,,,140.16923459040535,25.10046385603644,140.16923459040535,25.10046385603644,140.16923459040535,25.10046385603644,False,False,False,False,True,False,False,0,0,1,1,0,0,0,0,0,0,168.864940979931
19.975,0,1,0,7,-0.060213277365792774,-0.9981855344718586,0,168.864940979931,111.885593514353,,,147.34316118778673,25.01765540221399,147.34316118778673,25.01765540221399,147.34316118778673,25.01765540221399,True,False,False,False,False,False,False,0,0,1,1,0,0,0,0,0,0,171.280754117955
18.9625,0,1,0,7,-0.07738647923346322,-0.9970011699250151,1,171.280754117955,168.864940979931,,,152.13067977382042,24.166381243910585,152.13067977382042,24.166381243910585,152.13067977382042,24.166381243910585,False,False,True,False,False,False,False,0,0,1,1,0,0,0,0,0,0,174.552359998476
21.375,0,1,0,7,-0.09453674981719933,-0.9955213724144752,1,174.552359998476,171.280754117955,,,155.86762647792966,23.473385140557486,155.86762647792966,23.473385140557486,155.86762647792966,23.473385140557486,False,False,False,True,False,False,False,0,0,1,1,0,0,0,0,0,0,92.6377553788373
22.725,0,1,0,7,-0.11165900712169444,-0.9937465804361781,0,92.6377553788373,174.552359998476,148.828353112183,,146.8347877494879,32.09846938337897,146.8347877494879,32.09846938337897,146.8347877494879,32.09846938337897,False,True,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0,135.500244042392
23.275,0,1,0,7,-0.12874817745258066,-0.99167731989929,0,135.500244042392,92.6377553788373,159.79375714468,,144.9307721680892,32.354780871321964,145.4179697861009,29.98638575956801,145.4179697861009,29.98638575956801,False,False,False,False,False,True,False,0,0,0,1,0,0,0,0,0,0,136.048382778344
19.6875,0,1,0,7,-0.14579919691987442,-0.9893142039703664,0,136.048382778344,135.500244042392,111.885593514353,,141.5385758300412,31.77638173831103,144.3769045630168,28.22303608304494,144.3769045630168,28.22303608304494,False,False,False,False,False,False,True,0,0,0,1,0,0,0,0,0,0,135.132314289581
21.375,0,1,0,7,-0.16280701293851646,-0.9866579328916572,0,135.132314289581,136.048382778344,168.864940979931,,144.85953594078802,29.277323456283987,143.45244553567323,26.769041676181313,143.45244553567323,26.769041676181313,False,False,False,False,True,False,False,0,0,0,1,0,0,0,0,0,0,138.549392636714
20.2875,0,1,0,7,-0.17976658572556214,-0.9837092937736098,0,138.549392636714,135.132314289581,171.280754117955,,140.5287433203285,27.310675864204683,143.00671345394966,25.438334871026303,143.00671345394966,25.438334871026303,True,False,False,False,False,False,False,0,0,0,1,0,0,0,0,0,0,101.447511461298
20.125,0,1,0,7,-0.19667288979357622,-0.9804691603616321,1,101.447511461298,138.549392636714,174.552359998476,,130.55256579794892,26.95745347386525,139.5434466212287,27.05940514449853,139.5434466212287,27.05940514449853,False,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,141.233309883732
