date,warengruppe,id,umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,school_holiday,public_holiday
2013-07-01,1,1307011,148.828353112183,6.0,17.8375,15.0,20.0,0,1,0
2013-07-01,2,1307012,535.856284785361,6.0,17.8375,15.0,20.0,0,1,0
2013-07-01,3,1307013,201.198425690037,6.0,17.8375,15.0,20.0,0,1,0
2013-07-01,4,1307014,65.890168799361,6.0,17.8375,15.0,20.0,0,1,0
2013-07-01,5,1307015,317.475874933038,6.0,17.8375,15.0,20.0,0,1,0
2013-07-02,1,1307021,159.79375714468,3.0,17.3125,10.0,20.0,0,1,0
2013-07-02,2,1307022,546.780787392297,3.0,17.3125,10.0,20.0,0,1,0
2013-07-02,3,1307023,265.261253994438,3.0,17.3125,10.0,20.0,0,1,0
2013-07-02,4,1307024,74.5439171827412,3.0,17.3125,10.0,20.0,0,1,0
2013-07-02,5,1307025,383.628681612577,3.0,17.3125,10.0,20.0,0,1,0
2013-07-03,1,1307031,111.885593514353,7.0,21.075,6.0,61.0,0,1,0
2013-07-03,2,1307032,427.343258749983,7.0,21.075,6.0,61.0,0,1,0
2013-07-03,3,1307033,210.260241465493,7.0,21.075,6.0,61.0,0,1,0
2013-07-03,4,1307034,69.2627280649987,7.0,21.075,6.0,61.0,0,1,0
2013-07-03,5,1307035,305.523072325318,7.0,21.075,6.0,61.0,0,1,0
2013-07-04,1,1307041,168.864940979931,7.0,18.85,7.0,20.0,0,1,0
2013-07-04,2,1307042,454.859641347987,7.0,18.85,7.0,20.0,0,1,0
2013-07-04,3,1307043,190.686641378586,7.0,18.85,7.0,20.0,0,1,0
2013-07-04,4,1307044,61.490175369225,7.0,18.85,7.0,20.0,0,1,0
2013-07-04,5,1307045,308.408167942149,7.0,18.85,7.0,20.0,0,1,0
2013-07-05,1,1307051,171.280754117955,5.0,19.975,12.0,20.0,0,1,0
2013-07-05,2,1307052,492.818804066088,5.0,19.975,12.0,20.0,0,1,0
2013-07-05,3,1307053,181.644870215041,5.0,19.975,12.0,20.0,0,1,0
2013-07-05,4,1307054,86.7598614451924,5.0,19.975,12.0,20.0,0,1,0
2013-07-05,5,1307055,355.518770367742,5.0,19.975,12.0,20.0,0,1,0
2013-07-06,1,1307061,174.552359998476,0.0,18.9625,8.0,20.0,0,1,0
2013-07-06,2,1307062,631.906068038484,0.0,18.9625,8.0,20.0,0,1,0
2013-07-06,3,1307063,291.557959835153,0.0,18.9625,8.0,20.0,0,1,0
2013-07-06,4,1307064,80.6465768881107,0.0,18.9625,8.0,20.0,0,1,0
2013-07-06,5,1307065,361.866932797941,0.0,18.9625,8.0,20.0,0,1,0
2013-07-07,1,1307071,92.6377553788373,0.0,21.375,9.0,20.0,0,1,0
2013-07-07,2,1307072,695.25572963054,0.0,21.375,9.0,20.0,0,1,0
2013-07-07,3,1307073,279.665938833443,0.0,21.375,9.0,20.0,0,1,0
2013-07-07,4,1307074,94.6039024817053,0.0,21.375,9.0,20.0,0,1,0
2013-07-07,5,1307075,370.20960108863,0.0,21.375,9.0,20.0,0,1,0
2013-07-08,1,1307081,135.500244042392,0.0,22.725,10.0,5.0,0,1,0
2013-07-08,2,1307082,538.529249911711,0.0,22.725,10.0,5.0,0,1,0
2013-07-08,3,1307083,195.158794309303,0.0,22.725,10.0,5.0,0,1,0
2013-07-08,4,1307084,49.5000238633042,0.0,22.725,10.0,5.0,0,1,0
2013-07-08,5,1307085,285.233382496522,0.0,22.725,10.0,5.0,0,1,0
2013-07-09,1,1307091,136.048382778344,0.0,23.275,8.0,5.0,0,1,0
2013-07-09,2,1307092,585.957264698849,0.0,23.275,8.0,5.0,0,1,0
2013-07-09,3,1307093,245.808338509722,0.0,23.275,8.0,5.0,0,1,0
2013-07-09,4,1307094,75.2089975834558,0.0,23.275,8.0,5.0,0,1,0
2013-07-09,5,1307095,342.089345776475,0.0,23.275,8.0,5.0,0,1,0
2013-07-10,1,1307101,135.132314289581,2.0,19.6875,13.0,5.0,0,1,0
2013-07-10,2,1307102,567.365764527953,2.0,19.6875,13.0,5.0,0,1,0
2013-07-10,3,1307103,265.109142544045,2.0,19.6875,13.0,5.0,0,1,0
2013-07-10,4,1307104,73.8056511129258,2.0,19.6875,13.0,5.0,0,1,0
2013-07-10,5,1307105,343.353066508123,2.0,19.6875,13.0,5.0,0,1,0
2013-07-11,1,1307111,138.549392636714,0.0,21.375,12.0,5.0,0,1,0
2013-07-11,2,1307112,569.109374584873,0.0,21.375,12.0,5.0,0,1,0
2013-07-11,3,1307113,234.65807920749,0.0,21.375,12.0,5.0,0,1,0
